datetime,field_tds,ph,tank_tds,water_temp
2024-12-11 00:00:55,1786.4541,6.99286,1786.4541,24.5
2024-12-11 00:00:55,1786.4541,6.99286,1786.4541,24.5
2024-12-11 00:02:55,1788.51367,6.98639,1788.51367,24.48125
2024-12-11 00:02:55,1788.51367,6.98639,1788.51367,24.48125
2024-12-11 00:05:36,1788.38025,6.98065,1788.38025,24.4875
2024-12-11 00:05:36,1788.38025,6.98065,1788.38025,24.4875
2024-12-11 00:07:36,1790.04321,6.97826,1790.04321,24.46563
2024-12-11 00:07:36,1790.04321,6.97826,1790.04321,24.46563
2024-12-11 00:11:35,1789.06543,6.97048,1789.06543,24.44375
2024-12-11 00:11:35,1789.06543,6.97048,1789.06543,24.44375
2024-12-11 00:13:35,1791.00488,6.97226,1791.00488,24.45938
2024-12-11 00:13:35,1791.00488,6.97226,1791.00488,24.45938
2024-12-11 00:15:35,1792.55688,6.98011,1792.55688,24.4375
2024-12-11 00:15:35,1792.55688,6.98011,1792.55688,24.4375
2024-12-11 00:18:14,1786.8606,6.9753,1786.8606,24.44375
2024-12-11 00:18:14,1786.8606,6.9753,1786.8606,24.44375
2024-12-11 00:20:13,1790.69275,6.96987,1790.69275,24.4375
2024-12-11 00:20:13,1790.69275,6.96987,1790.69275,24.4375
2024-12-11 00:22:12,1791.63159,6.97777,1791.63159,24.4375
2024-12-11 00:22:12,1791.63159,6.97777,1791.63159,24.4375
2024-12-11 00:24:12,1789.03979,6.97283,1789.03979,24.425
2024-12-11 00:24:12,1789.03979,6.97283,1789.03979,24.425
2024-12-11 00:26:12,1793.77734,6.96865,1793.77734,24.43125
2024-12-11 00:26:12,1793.77734,6.96865,1793.77734,24.43125
2024-12-11 00:28:13,1797.60779,6.97313,1797.60779,24.39062
2024-12-11 00:28:13,1797.60779,6.97313,1797.60779,24.39062
2024-12-11 00:30:54,1794.08752,6.96568,1794.08752,24.38125
2024-12-11 00:30:54,1794.08752,6.96568,1794.08752,24.38125
2024-12-11 00:32:51,1798.44751,6.96863,1798.44751,24.37812
2024-12-11 00:32:51,1798.44751,6.96863,1798.44751,24.37812
2024-12-11 00:34:51,1796.46228,6.96941,1796.46228,24.375
2024-12-11 00:34:51,1796.46228,6.96941,1796.46228,24.375
2024-12-11 00:36:51,1795.79456,6.96084,1795.79456,24.38125
2024-12-11 00:36:51,1795.79456,6.96084,1795.79456,24.38125
2024-12-11 00:38:51,1795.42737,6.96284,1795.42737,24.375
2024-12-11 00:38:51,1795.42737,6.96284,1795.42737,24.375
2024-12-11 00:40:52,1795.49341,6.9574,1795.49341,24.375
2024-12-11 00:40:52,1795.49341,6.9574,1795.49341,24.375
2024-12-11 00:42:52,1795.35803,6.95423,1795.35803,24.38125
2024-12-11 00:42:52,1795.35803,6.95423,1795.35803,24.38125
2024-12-11 00:44:52,1800.97363,6.95331,1800.97363,24.38125
2024-12-11 00:44:52,1800.97363,6.95331,1800.97363,24.38125
2024-12-11 00:46:52,1795.0293,6.94968,1795.0293,24.38125
2024-12-11 00:46:52,1795.0293,6.94968,1795.0293,24.38125
2024-12-11 00:49:52,1797.23181,6.94876,1797.23181,24.375
2024-12-11 00:49:52,1797.23181,6.94876,1797.23181,24.375
2024-12-11 00:51:51,1795.95251,6.94919,1795.95251,24.3875
2024-12-11 00:51:51,1795.95251,6.94919,1795.95251,24.3875
2024-12-11 00:53:51,1794.9967,6.94426,1794.9967,24.375
2024-12-11 00:53:51,1794.9967,6.94426,1794.9967,24.375
2024-12-11 00:55:51,1797.63794,6.93672,1797.63794,24.375
2024-12-11 00:55:51,1797.63794,6.93672,1797.63794,24.375
2024-12-11 00:57:51,1799.56506,6.93594,1799.56506,24.375
2024-12-11 00:57:51,1799.56506,6.93594,1799.56506,24.375
2024-12-11 00:59:51,1799.39038,6.93622,1799.39038,24.375
2024-12-11 00:59:51,1799.39038,6.93622,1799.39038,24.375
2024-12-11 01:02:31,1797.70288,6.93101,1797.70288,24.37188
2024-12-11 01:02:31,1797.70288,6.93101,1797.70288,24.37188
2024-12-11 01:04:29,1799.2688,6.9262,1799.2688,24.36875
2024-12-11 01:04:29,1799.2688,6.9262,1799.2688,24.36875
2024-12-11 01:06:29,1800.15491,6.92944,1800.15491,24.37188
2024-12-11 01:06:29,1800.15491,6.92944,1800.15491,24.37188
2024-12-11 01:08:29,1797.88354,6.93245,1797.88354,24.36875
2024-12-11 01:08:29,1797.88354,6.93245,1797.88354,24.36875
2024-12-11 01:10:29,1799.2406,6.93259,1799.2406,24.35625
2024-12-11 01:10:29,1799.2406,6.93259,1799.2406,24.35625
2024-12-11 01:12:29,1800.20923,6.93013,1800.20923,24.34063
2024-12-11 01:12:29,1800.20923,6.93013,1800.20923,24.34063
2024-12-11 01:14:29,1800.42163,6.93405,1800.42163,24.32812
2024-12-11 01:14:29,1800.42163,6.93405,1800.42163,24.32812
2024-12-11 01:16:29,1796.90588,6.91591,1796.90588,24.34375
2024-12-11 01:16:29,1796.90588,6.91591,1796.90588,24.34375
2024-12-11 01:18:29,1804.1322,6.90693,1804.1322,24.3375
2024-12-11 01:18:29,1804.1322,6.90693,1804.1322,24.3375
2024-12-11 01:21:11,1804.83948,6.91006,1804.83948,24.3125
2024-12-11 01:21:11,1804.83948,6.91006,1804.83948,24.3125
2024-12-11 01:23:10,1815.44104,6.9384,1815.44104,24.3125
2024-12-11 01:23:10,1815.44104,6.9384,1815.44104,24.3125
2024-12-11 01:25:10,1815.08826,6.93387,1815.08826,24.3125
2024-12-11 01:25:10,1815.08826,6.93387,1815.08826,24.3125
2024-12-11 01:27:10,1813.83728,6.935,1813.83728,24.3125
2024-12-11 01:27:10,1813.83728,6.935,1813.83728,24.3125
2024-12-11 01:29:10,1824.45251,6.92437,1824.45251,24.3125
2024-12-11 01:29:10,1824.45251,6.92437,1824.45251,24.3125
2024-12-11 01:31:10,1823.36792,6.9228,1823.36792,24.30313
2024-12-11 01:31:10,1823.36792,6.9228,1823.36792,24.30313
2024-12-11 01:33:45,1823.01135,6.91792,1823.01135,24.29375
2024-12-11 01:33:45,1823.01135,6.91792,1823.01135,24.29375
2024-12-11 01:35:44,1823.01624,6.91691,1823.01624,24.30625
2024-12-11 01:35:44,1823.01624,6.91691,1823.01624,24.30625
2024-12-11 01:37:44,1822.8252,6.92189,1822.8252,24.3125
2024-12-11 01:37:44,1822.8252,6.92189,1822.8252,24.3125
2024-12-11 01:40:10,1824.89624,6.92376,1824.89624,24.3
2024-12-11 01:40:10,1824.89624,6.92376,1824.89624,24.3
2024-12-11 01:42:09,1819.84863,6.92255,1819.84863,24.27813
2024-12-11 01:42:09,1819.84863,6.92255,1819.84863,24.27813
2024-12-11 01:44:09,1817.61841,6.92281,1817.61841,24.2875
2024-12-11 01:44:09,1817.61841,6.92281,1817.61841,24.2875
2024-12-11 01:46:09,1817.22778,6.93112,1817.22778,24.25
2024-12-11 01:46:09,1817.22778,6.93112,1817.22778,24.25
2024-12-11 01:48:09,1817.44653,6.92803,1817.44653,24.25
2024-12-11 01:48:09,1817.44653,6.92803,1817.44653,24.25
2024-12-11 01:50:09,1813.0166,6.92985,1813.0166,24.25
2024-12-11 01:50:09,1813.0166,6.92985,1813.0166,24.25
2024-12-11 01:52:43,1815.20288,6.93284,1815.20288,24.25
2024-12-11 01:52:43,1815.20288,6.93284,1815.20288,24.25
2024-12-11 01:54:41,1815.08008,6.92517,1815.08008,24.24375
2024-12-11 01:54:41,1815.08008,6.92517,1815.08008,24.24375
2024-12-11 01:56:41,1818.98792,6.92076,1818.98792,24.24375
2024-12-11 01:56:41,1818.98792,6.92076,1818.98792,24.24375
2024-12-11 01:59:10,1814.66858,6.92266,1814.66858,24.23438
2024-12-11 01:59:10,1814.66858,6.92266,1814.66858,24.23438
2024-12-11 02:01:08,1814.21802,6.92282,1814.21802,24.2375
2024-12-11 02:01:08,1814.21802,6.92282,1814.21802,24.2375
2024-12-11 02:03:08,1810.94763,6.93035,1810.94763,24.20312
2024-12-11 02:03:08,1810.94763,6.93035,1810.94763,24.20312
2024-12-11 02:05:35,1811.39062,6.92149,1811.39062,24.20938
2024-12-11 02:05:35,1811.39062,6.92149,1811.39062,24.20938
2024-12-11 02:07:34,1812.88147,6.90864,1812.88147,24.1875
2024-12-11 02:07:34,1812.88147,6.90864,1812.88147,24.1875
2024-12-11 02:09:34,1810.30896,6.91901,1810.30896,24.18438
2024-12-11 02:09:34,1810.30896,6.91901,1810.30896,24.18438
2024-12-11 02:12:01,1807.60718,6.92985,1807.60718,24.1875
2024-12-11 02:12:01,1807.60718,6.92985,1807.60718,24.1875
2024-12-11 02:13:59,1806.77905,6.93521,1806.77905,24.1875
2024-12-11 02:13:59,1806.77905,6.93521,1806.77905,24.1875
2024-12-11 02:15:59,1808.84106,6.93558,1808.84106,24.1625
2024-12-11 02:15:59,1808.84106,6.93558,1808.84106,24.1625
2024-12-11 02:17:59,1809.85913,6.92757,1809.85913,24.18125
2024-12-11 02:17:59,1809.85913,6.92757,1809.85913,24.18125
2024-12-11 02:19:59,1811.20776,6.92438,1811.20776,24.1875
2024-12-11 02:19:59,1811.20776,6.92438,1811.20776,24.1875
2024-12-11 02:21:59,1812.37854,6.91915,1812.37854,24.16875
2024-12-11 02:21:59,1812.37854,6.91915,1812.37854,24.16875
2024-12-11 02:24:47,1810.2312,6.91096,1810.2312,24.15937
2024-12-11 02:24:47,1810.2312,6.91096,1810.2312,24.15937
2024-12-11 02:26:46,1809.28931,6.91632,1809.28931,24.15937
2024-12-11 02:26:46,1809.28931,6.91632,1809.28931,24.15937
2024-12-11 02:28:45,1805.97717,6.91657,1805.97717,24.14375
2024-12-11 02:28:45,1805.97717,6.91657,1805.97717,24.14375
2024-12-11 02:30:45,1808.94629,6.91613,1808.94629,24.12812
2024-12-11 02:30:45,1808.94629,6.91613,1808.94629,24.12812
2024-12-11 02:32:45,1810.53296,6.91907,1810.53296,24.1375
2024-12-11 02:32:45,1810.53296,6.91907,1810.53296,24.1375
2024-12-11 02:34:45,1806.88147,6.91501,1806.88147,24.125
2024-12-11 02:34:45,1806.88147,6.91501,1806.88147,24.125
2024-12-11 02:37:34,1802.71899,6.91395,1802.71899,24.125
2024-12-11 02:37:34,1802.71899,6.91395,1802.71899,24.125
2024-12-11 02:39:32,1807.13025,6.90853,1807.13025,24.1125
2024-12-11 02:39:32,1807.13025,6.90853,1807.13025,24.1125
2024-12-11 02:41:32,1806.51147,6.90798,1806.51147,24.07187
2024-12-11 02:41:32,1806.51147,6.90798,1806.51147,24.07187
2024-12-11 02:43:32,1805.6709,6.90818,1805.6709,24.075
2024-12-11 02:43:32,1805.6709,6.90818,1805.6709,24.075
2024-12-11 02:45:32,1808.61426,6.90282,1808.61426,24.0625
